field,region,land_type,fertility_score,season,crop,crop_predecessor,area,hybrid,seed_origin,technology,yield_plan,p2o5,k2o,humus,ph,soil,key,yield_plan_full
62.17.01.009.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",37.94,Ликамеро,Свои,минимальная,3.9,5.61,215.6,41.73,7.48,Серые лесные,"(2024, '62.17.01.009.00')",0.5
62.17.01.010.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",119.56,Ликамеро,Свои,минимальная,3.9,5.5,160.6,5.61,5.61,Серые лесные,"(2024, '62.17.01.010.00')",0.75
62.17.01.011.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",13.78,Ликамеро,Свои,минимальная,3.9,5.5,72.6,15.16,7.26,Серые лесные,"(2024, '62.17.01.011.00')",0.25
62.17.01.012.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",158.18,Кермит,Свои,классическая с плугом,1.9,6.16,111.1,5.61,5.5,Серые лесные,"(2024, '62.17.01.012.00')",0.75
62.17.01.013.00,Рязань,пашня,4.0,2024,Залежь,"Залежь, лес",3.53,(нет сорта),Покупные,минимальная,2.0,0.0,0.0,0.0,0.0,Серые лесные,"(2024, '62.17.01.013.00')",1.0
62.17.01.014.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",4.53,Ликамеро,Свои,минимальная,3.9,6.6,278.3,4.98,6.05,Серые лесные,"(2024, '62.17.01.014.00')",0.25
62.17.01.015.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",11.07,Ликамеро,Свои,минимальная,3.9,6.05,319.0,12.18,6.05,Серые лесные,"(2024, '62.17.01.015.00')",0.25
62.17.01.016.00,Рязань,пашня,4.0,2024,Яр.пшеница мягкая,"Залежь, лес",10.11,Ликамеро,Свои,минимальная,3.9,5.06,62.7,11.12,6.82,Серые лесные,"(2024, '62.17.01.016.00')",0.25
62.17.01.017.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",278.98,Кермит,Свои,классическая с плугом,1.9,5.17,148.5,5.61,7.37,Серые лесные,"(2024, '62.17.01.017.00')",1.0
62.17.01.018.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",75.13,Кермит,Свои,классическая с плугом,1.9,5.72,165.0,82.64,6.71,Серые лесные,"(2024, '62.17.01.018.00')",0.5
62.17.01.019.00,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",29.87,Кермит,Свои,классическая с плугом,1.9,5.72,107.8,32.86,7.37,Серые лесные,"(2024, '62.17.01.019.00')",0.25
62.17.01.020.01,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",80.59,Кермит,Свои,классическая с плугом,1.9,5.28,82.5,5.61,6.93,Серые лесные,"(2024, '62.17.01.020.01')",0.5
62.17.01.020.02,Рязань,пашня,4.0,2024,Чечевица зеленая,"Залежь, лес",14.2,Кермит,Свои,классическая с плугом,1.9,5.28,82.5,5.61,6.93,Серые лесные,"(2024, '62.17.01.020.02')",0.25
